yellow,green,orange
4.85,3.8666666666666667,4.483333333333333
4.533333333333333,3.4,3.8
4.666666666666667,4.0,3.466666666666667
5.583333333333333,4.016666666666667,4.183333333333334
5.783333333333333,5.15,4.166666666666667
4.15,4.116666666666666,3.15
4.0,5.483333333333333,5.416666666666667
3.6666666666666665,6.316666666666666,4.183333333333334
3.066666666666667,4.616666666666666,4.533333333333333
4.65,4.383333333333334,3.9833333333333334
4.3,3.183333333333333,2.45
6.466666666666667,4.1,3.35
3.5,4.733333333333333,3.05
4.116666666666666,3.3666666666666667,3.8
7.55,4.25,4.466666666666667
3.4833333333333334,5.766666666666667,3.7666666666666666
4.516666666666667,5.05,4.05
4.216666666666667,5.133333333333334,3.966666666666667
4.116666666666666,4.733333333333333,5.016666666666667
3.8,4.016666666666667,4.566666666666666
5.033333333333333,5.366666666666666,4.633333333333334
5.9,6.183333333333334,4.016666666666667
6.716666666666667,3.8,2.433333333333333
3.5833333333333335,1.9333333333333333,1.7
3.45,3.8833333333333333,3.2666666666666666
5.833333333333333,6.1,4.333333333333333
4.7,4.35,4.583333333333333
4.2,3.5833333333333335,3.933333333333333
3.7333333333333334,4.683333333333334,3.183333333333333
4.6,6.316666666666666,3.9166666666666665
4.333333333333333,4.833333333333333,4.5
4.1,6.816666666666666,3.4833333333333334
5.733333333333333,6.4,3.8
4.416666666666667,4.433333333333334,3.45
2.4,4.05,2.8666666666666667
6.083333333333333,6.366666666666666,4.1
5.2,5.083333333333333,2.1666666666666665
2.966666666666667,5.666666666666667,3.933333333333333
6.616666666666666,3.6166666666666667,4.2
3.8333333333333335,3.783333333333333,3.9
4.933333333333334,4.116666666666666,4.8
3.8666666666666667,4.416666666666667,3.5166666666666666
5.316666666666666,4.55,3.0166666666666666
6.433333333333334,5.283333333333333,3.05
5.066666666666666,6.116666666666666,3.216666666666667
3.5833333333333335,4.75,2.966666666666667
4.25,2.683333333333333,4.216666666666667
3.45,5.116666666666666,4.383333333333334
4.733333333333333,4.933333333333334,3.283333333333333
4.55,4.816666666666666,3.6166666666666667
3.966666666666667,5.783333333333333,4.483333333333333
5.45,4.566666666666666,4.25
4.433333333333334,5.433333333333334,3.8833333333333333
3.6333333333333333,2.8666666666666667,5.483333333333333
3.2666666666666666,3.783333333333333,4.233333333333333
3.3333333333333335,4.066666666666666,4.733333333333333
3.183333333333333,4.216666666666667,3.1333333333333333
4.366666666666666,3.95,2.8666666666666667
4.6,6.066666666666666,3.5833333333333335
5.833333333333333,4.333333333333333,4.25
5.016666666666667,4.666666666666667,3.283333333333333
6.85,4.466666666666667,3.4166666666666665
4.833333333333333,4.666666666666667,2.85
3.316666666666667,4.633333333333334,4.5
3.6,5.116666666666666,2.4
6.016666666666667,4.883333333333334,4.966666666666667
4.766666666666667,4.316666666666666,3.8666666666666667
5.866666666666666,4.5,2.6333333333333333
3.8,4.466666666666667,4.2
4.5,4.216666666666667,3.5166666666666666
5.433333333333334,4.066666666666666,3.3666666666666667
3.95,4.433333333333334,4.4
5.466666666666667,3.433333333333333,2.433333333333333
5.683333333333334,3.75,3.25
5.45,3.933333333333333,4.95
3.55,3.65,1.4333333333333333
7.083333333333333,6.016666666666667,2.95
3.1,7.983333333333333,3.15
6.4,5.566666666666666,4.283333333333333
5.266666666666667,3.6,3.0166666666666666
4.866666666666666,3.466666666666667,4.0
6.416666666666667,4.516666666666667,3.75
3.55,3.9833333333333334,3.8333333333333335
3.3833333333333333,4.7,3.433333333333333
3.7333333333333334,6.716666666666667,2.85
2.15,4.016666666666667,4.833333333333333
5.6,4.3,3.7666666666666666
2.9833333333333334,5.5,3.933333333333333
5.733333333333333,6.2,2.783333333333333
4.633333333333334,5.616666666666666,2.8833333333333333
4.166666666666667,4.35,2.2666666666666666
6.8,5.516666666666667,3.4833333333333334
5.683333333333334,4.8,2.283333333333333
3.966666666666667,5.066666666666666,2.5833333333333335
4.55,5.2,3.4166666666666665
5.0,4.366666666666666,3.85
5.483333333333333,4.083333333333333,3.2
4.283333333333333,5.3,4.833333333333333
3.7,5.416666666666667,5.283333333333333
5.05,3.15,2.283333333333333
4.283333333333333,4.966666666666667,3.6333333333333333
5.4,4.35,2.35
5.5,4.766666666666667,4.35
3.4,4.2,3.466666666666667
4.033333333333333,5.15,4.533333333333333
4.516666666666667,6.283333333333333,1.4666666666666666
3.7666666666666666,3.933333333333333,2.433333333333333
4.733333333333333,3.45,3.7333333333333334
4.033333333333333,3.216666666666667,4.75
4.083333333333333,3.7666666666666666,4.9
5.2,6.35,3.7
4.4,4.283333333333333,3.3
5.75,4.766666666666667,3.8333333333333335
4.716666666666667,3.9,5.0
4.233333333333333,5.2,2.95
4.716666666666667,4.1,3.683333333333333
4.216666666666667,3.033333333333333,3.283333333333333
4.083333333333333,4.683333333333334,3.8833333333333333
5.083333333333333,3.4833333333333334,4.133333333333334
4.916666666666667,4.916666666666667,3.8
5.3,4.6,4.35
4.25,4.083333333333333,2.683333333333333
3.3666666666666667,6.5,3.9833333333333334
3.9166666666666665,3.9833333333333334,3.65
4.7,4.466666666666667,3.6166666666666667
2.15,3.6333333333333333,2.316666666666667
2.7666666666666666,4.266666666666667,5.183333333333334
5.166666666666667,3.316666666666667,4.216666666666667
4.05,4.533333333333333,4.666666666666667
4.433333333333334,4.183333333333334,3.8333333333333335
5.466666666666667,4.05,1.4166666666666667
4.066666666666666,5.35,4.416666666666667
5.133333333333334,3.9833333333333334,2.9833333333333334
4.516666666666667,5.166666666666667,4.2
4.95,5.183333333333334,3.55
4.566666666666666,4.783333333333333,4.466666666666667
5.15,4.7,3.816666666666667
3.45,6.133333333333334,4.083333333333333
5.183333333333334,4.216666666666667,5.683333333333334
4.733333333333333,3.45,1.8333333333333333
4.266666666666667,4.7,3.716666666666667
6.65,7.016666666666667,4.683333333333334
3.933333333333333,5.166666666666667,2.2
5.75,4.066666666666666,3.65
6.166666666666667,5.1,3.3666666666666667
